2009-12-01,21232,1.25
2009-12-02,21232,1.1866666666666668
2009-12-03,21232,1.2341666666666666
2009-12-04,21232,1.2341666666666666
2009-12-05,21232,1.25
2009-12-06,21232,1.25
2009-12-07,21232,1.25
2009-12-08,21232,1.2246666666666668
2009-12-09,21232,1.25
2009-12-10,21232,1.2341666666666666
2009-12-11,21232,1.25
2009-12-12,21232,
2009-12-13,21232,1.2183333333333335
2009-12-14,21232,1.1866666666666668
2009-12-15,21232,1.155
2009-12-16,21232,1.1866666666666668
2009-12-17,21232,1.2207692307692308
2009-12-18,21232,1.25
2009-12-19,21232,
2009-12-20,21232,1.25
2009-12-21,21232,
2009-12-22,21232,
2009-12-23,21232,
2009-12-24,21232,
2009-12-25,21232,
2009-12-26,21232,
2009-12-27,21232,
2009-12-28,21232,
2009-12-29,21232,
2009-12-30,21232,
2009-12-31,21232,
2010-01-01,21232,
2010-01-02,21232,
2010-01-03,21232,
2010-01-04,21232,1.25
2010-01-05,21232,1.2154545454545456
2010-01-06,21232,1.06
2010-01-07,21232,1.1866666666666668
2010-01-08,21232,1.1866666666666668
2010-01-09,21232,
2010-01-10,21232,1.06
2010-01-11,21232,1.1866666666666668
2010-01-12,21232,1.25
2010-01-13,21232,1.25
2010-01-14,21232,1.25
2010-01-15,21232,1.1866666666666668
2010-01-16,21232,
2010-01-17,21232,1.25
2010-01-18,21232,1.25
2010-01-19,21232,1.25
2010-01-20,21232,1.228888888888889
2010-01-21,21232,1.25
2010-01-22,21232,
2010-01-23,21232,
2010-01-24,21232,1.25
2010-01-25,21232,1.25
2010-01-26,21232,1.06
2010-01-27,21232,1.1866666666666668
2010-01-28,21232,1.1866666666666668
2010-01-29,21232,1.25
2010-01-30,21232,
2010-01-31,21232,1.2025000000000001
2010-02-01,21232,
2010-02-02,21232,1.25
2010-02-03,21232,1.25
2010-02-04,21232,1.25
2010-02-05,21232,1.25
2010-02-06,21232,
2010-02-07,21232,1.06
2010-02-08,21232,1.2228571428571429
2010-02-09,21232,1.25
2010-02-10,21232,1.25
2010-02-11,21232,1.25
2010-02-12,21232,1.25
2010-02-13,21232,
2010-02-14,21232,1.25
2010-02-15,21232,1.25
2010-02-16,21232,1.25
2010-02-17,21232,1.25
2010-02-18,21232,1.25
2010-02-19,21232,1.25
2010-02-20,21232,
2010-02-21,21232,1.25
2010-02-22,21232,1.25
2010-02-23,21232,1.1866666666666668
2010-02-24,21232,1.1866666666666668
2010-02-25,21232,1.25
2010-02-26,21232,1.25
2010-02-27,21232,
2010-02-28,21232,1.2120000000000002
2010-03-01,21232,1.2120000000000002
2010-03-02,21232,1.25
2010-03-03,21232,1.1866666666666668
2010-03-04,21232,1.25
2010-03-05,21232,1.25
2010-03-06,21232,
2010-03-07,21232,1.25
2010-03-08,21232,1.2025000000000001
2010-03-09,21232,1.2025000000000001
2010-03-10,21232,1.25
2010-03-11,21232,1.155
2010-03-12,21232,1.25
2010-03-13,21232,
2010-03-14,21232,1.25
2010-03-15,21232,1.25
2010-03-16,21232,1.228888888888889
2010-03-17,21232,1.25
2010-03-18,21232,1.155
2010-03-19,21232,1.25
2010-03-20,21232,
2010-03-21,21232,1.25
2010-03-22,21232,1.25
2010-03-23,21232,1.25
2010-03-24,21232,1.25
2010-03-25,21232,1.1866666666666668
2010-03-26,21232,1.25
2010-03-27,21232,
2010-03-28,21232,1.25
2010-03-29,21232,1.2120000000000002
2010-03-30,21232,1.2120000000000002
2010-03-31,21232,1.25
2010-04-01,21232,1.25
2010-04-02,21232,
2010-04-03,21232,
2010-04-04,21232,
2010-04-05,21232,
2010-04-06,21232,1.25
2010-04-07,21232,1.25
2010-04-08,21232,1.25
2010-04-09,21232,1.155
